message,label
gg,0
ilya wtf,0
ggs,0
yall are bots frrr,1
why no plant,0
hel noo,0
gg guys,0
what just happen?,0
lol,0
nice,0
peepobye prx,0
what,0
nooo,0
nice niceguys woohoo yessir,0
lmfao,0
cumback,1
geee geeeeee,0
lo,0
gg gg,0
no,0
letsgooo,0
bilatmen,1
lul,0
ez,0
noooo,0
fak,1
wwwwwww jinxed,0
noooooooooooo,0
tang ina mo shanks,1
charity woooooooooooooooooooooooooooooooooooo,0
ww jinx,0
:(((((((((((,0
lol 2-0 lmfao,0
thats not a cloneeee,0
gggg,0
noooooo,0
!results,0
gg send them home,0
free huh,0
g,0
ahahahhahahha,0
gg :(,0
prx bottinggggggggggggggg,1
:(,0
best team gg,0
he's definitely on something. the amount of restraint they showed,0
he told cop he was deep d his daughter and wife lol,1
good morning hutch good morning chat!,0
pull his pants up please,0
taze his cuffs,1
or mental illness,0
one 95,0
hows everyone doing?,0
i can't breathe lolololol ok,1
mdma is a bad life choice...,0
oops grey tazer,1
oh word,0
@gibbys_ribs nahh,0
this is why you whoop your kids folks,1
idk he crazy so he wont cry,0
this whole chat pussy,1
hitting a women is crazy ngl,1
i fought the law and the,0
this is the landlords kid??,0
@zoltec_ on jah,0
skip this man this is so cringe its insane,1
its time for the asylum penitentiarys to come back,1
buddys cooked,1
this is just sad man go next,0
"""you clear this up right now"" lol trust its being cleared up homey",0
@mgoblue734 what?...,0
that was his mother he hit in the face his sister is also there,1
bro is high as fuck,1
lmao wut,0
is that not intimidating a witness?,0
this kid is so weird omd,0
rip points,0
meth is an hell of an drug,0
jail going to eat this kid alive 😂😭💀,1
wait til hes in the car alone,0
drugs,0
@unswayed lmao cry more,1
probably true,0
couragecrazy couragecrazy couragecrazy,0
i couldnt be a cop,0
open fire,1
that was his sister,0
he’s gotta be high as fuck,1
generation is cooooked,1
i could never be a cop,0
@zoltec_ swiftyep swiftyep swiftyep,0
his braain fried from the drugs,1
i assaulted someone and now im rich after getting arrested kekw,1
this guy would be sleeping,0
i fought the law and the law won,0
@zoltec_ that's exactly why bro. parents need to put some lashes on that ass for sure,1
@unswayed bruh you in the chat,0
tazer tazer tazer,1
the over hits,0
bruh on some bath salts lmao,1
@unswayed who are you feelin like bro,0
if he does all that in front of the cops imagine how he is when no one is around. scary 😳,0
don't do drugs kids,0
meth is one hell of a drug,1
dont do drugs kids,0
he's too lost in psychosis probably lack of sleep. this is sad,0
you can tell people who never been to jail or prision...,0
bros tweaking,1
"just woke up, wtf",0
tactical elbow in the jaw in justified,0
this is ... wtf please save us all,0
@mrsquiid2 i was just thinking thatt hahah,0
"certified victim, as zb would say",0
i think the same rule that applies to rabid animals should apply to humans,1
at least,0
hes gota be on drugs.,1
gotta be,1
w meth,1
this kid needs to learn the value of shutting up,1
gimme a reason,0
meth,1
gotta be high or something,1
yeah,0
more than drunk,1
"yep, drunk",0
100% not solber,0
he gotta be high,1
all of them,0
midwest is wild lul,0
this is where i wouldn’t mind seeing excessive force,1
he on a perc,1
meth or crack,1
00%,0
he on smthg,1
that licka,0
that is not alcohol lol,0
100 percent meth,1
"this is your kids on drugs, chat",0
he sounds drunk the way he’s slurring,0
www 5,0
sinking,0
link in,0
sicking,0
linked in,0
linkedin,0
sinkin,0
wooo,0
w 5,0
weakness,0
someone gift meeee plssss,0
linkin,0
sinked in,0
i ve been thinking,0
linkenin,0
weekend,0
weeekend,0
saj jax,0
thoughts,0
saj,0
linkindin,0
@thesierramasterchief117 u da 1 bro,0
next to pbm he been stinkin,0
you,0
wwwken,0
linkeden,0
youuuu,0
i miss jax,0
on you,0
linkein,0
weekedn,0
eyes on you,0
ayyy,0
youu,0
eyes,0
youuu,0
you ͏,0
thinging,0
!watchtime @myzarii,0
jax jax jax,0
@gooberfnt gamble has 0 points and is rank 1/1155412 on the leaderboard.,0
wakeup,0
w speed,0
!gamble 67,0
"@slim_shady62, you only have 9 points.",0
!gamble 90%,0
action tomatocfc lost 180 points in roulette and now has 20 points! feelsbadman,0
why is he in jail,0
wideboink,0
!followage,0
"@ghostdior, ghostdior has been following lacy for  1 year 6 months 20 days 11 hours",0
!gamble all,0
action pogchamp gooberfnt went all in and won 5 points pogchamp they now have 10 points feelsgoodman,0
3,0
2,0
1,0
!coinflip,0
"action strangerdaie, your coin has landed on...... heads",0
!gamble 30%,0
!gamble 100%,0
action slim_shady62 won 2 points in roulette and now has 11 points! feelsgoodman,0
anticonned gift me,0
yo,0
jjaidewepaid,0
"action ""heads "" won the prediction! pogchamp 52.83% of people voted correctly, meaning 195334 points will be distributed among 28 users.",0
damn it ome90,0
bro got the best sleeping spot,0
@spooked1x no,0
dans ome32 wideboris widetime2 widevibe,0
"@gooberfnt, gooberfnt has been following lacy for  2 years 5 months 8 days 13 hours",0
gamble,0
bang,0
w,0
!gable 25%,0
strokes wideboink strokes wideboink strokes wideboink,0
lacy dont pay you?,0
action pogchamp tomatocfc went all in and won 20 points pogchamp they now have 40 points feelsgoodman,0
!gamble 10000,0
@strangerdaie who i contact to get lacy better stream flyers,0
oh lacy,0
???,0
weak ass bot,1
www,0
???????????/,0
action joeywrld_ lost 10000 points in roulette and now has 82530 points! feelsbadman,0
@spooked1x we get paid mad money,0
so bc lacy pays me i should gift u ohnono,0
fuck u,1
mmm,0
"cheer100 imma keep it a stack i love old lady pussy , is what it is",1
"@killagrp, he doesnt care about them he uses ai most the time",0
...,0
ohnono,0
yes,0
why his ahh fat,1
moneys tight,0
!gamble 300,0
action r3set3d lost 300 points in roulette and now has 5500 points! feelsbadman,0
jus gimme my moneyy,0
is he in a jail cell brp,0
"@dnvvyy, ngl i forgot u existed widespeedlemon",0
@strangerdaie thats bad.. he a big streamer,0
"this guy doin easy time, should be going to sleep at 10pm and waking up at 6am",0
vote on the predih aga,0
if i get 250k channel points can i time out anticonned,0
@jeremytoowavy_ duckass,1
@anticonned your a millionaire and you won’t even gift us 200 subs,0
l anti,0
"@killagrp, well its his choice",0
@gooberfnt no,0
!gamble 1000,0
action r3set3d lost 1000 points in roulette and now has 4500 points! feelsbadman,0
ll millionaire @anticonned,0
@sparkyfirm me?,0
!points,0
@weqmzzz weqmzzz has 0 points and is rank 1155344/1155412 on the leaderboard.,0
@jlibaa i havent been acxtive im pretty busy lmao,0
tub,0
why is lacy locked up😭,0
"@dnvvyy, saj",0
"@slim_shady62, you only have 11 points.",0
millionaire? me? me?,0
mods can do the funniest thing rn,0
@jlibaa soon,0
do i vote on 1 or 2 chat pick ome44,0
@anticonned six seven 67 6 7,0
67,0
what ever these mf are doing it better be cinema,1
@big_mac665 cuz he got in a fight with jason,0
vyse ult,0
diggr,0
1000 prem elo strats,0
prx kehrt nach singapur zurück prx kehrt nach singapur zurück prx kehrt nach singapur zurück prx kehrt nach singapur zurück,0
vyse ult fucked them,1
they are so cooked gang,1
bye bye prx ohneripbozo,1
euro,0
guckt,0
cooked,1
xdd,0
bros become a true prx fan,0
there guns got taken away,0
they fear getting flanked as the maps are really short,0
they got sandwich lo,0
prx lost me all my channel points l gambling,0
that is my big brain ohne,0
o7,0
the c,0
igl is so bad,1
valorant players suck lol,1
vyse ult removes primary,0
buffering??,0
vyse ult fucked prx,1
they had the site but dry flooded,0
ez games,0
both upset game,0
none of them have any aura???,0
this game lmfaooo what is happening,0
thye did not have gunn,0
ll take,0
they got ulted,0
prx is so bad,1
"w drx, l paper",0
what is this mobile game called ?????,0
vyse ult slowed em down,0
cooked team xd,0
alecks table check,0
ti che ochkastui ahuel,1
boutta lose all my sharkies aware,0
vyse ult temp removes primary gun usage,0
look at florecent highlight for crazy val aim trust bro florecent,0
sus,0
"why is this so not hype, not even hating i’m just asking",0
no guns,0
vyse took their guns away,0
if they duel they have pistols vs rifles,0
@ohnepixel isn’t this the game you’ve been shitting on for the last 2 years?,1
"chat, get it together!!!!",0
im sending jing back to bmt,0
ohne you are watching the most stupid team in vct history logic won't work,1
r u gay ohne?!,1
it’s ok nrg wins,0
agent ban yoru madge,0
bro wants yoru gone,0
0 iq prx is back,1
prx has no igl btw,0
vyse ult = no rifle,0
dumbass ͏,1
fuck is bro wearing,1
bot prx kekw,1
rush b fast,0
"if rotate, rotate fast",0
are there agent bans?,0
they got fast flooded with the vyse ult (it forces you to use pistol),0
5 chances,0
her ult makes you switch to your pistol,0
gayge,1
unreal boring gameplay,0
not even noah carried as much animals as jingg not even noah carried as much animals as jingg,0
gg prx,0
disarm one,0
helmet lady,0
slop3l pewpewpew slop3r,0
shroud owns you @quin69,0
didsomeonesayclown,0
dinner,0
hs18legend1,0
official quin69 vods are here pogu 👉 quin69.gg,0
lolw,0
hehe,0
lmao,0
baseg  ͏,0
databaselule,0
maybe we should try a thorns build so you can beat shroud,0
duckerz,0
oooo,0
pewpewpew,0
new friend strongge,0
baseg,0
lool,0
lolw ͏,0
quinxd,0
damn,0
https://x.com/tyleraloevera/status/1974084030464172294,0
lmao dominated,0
clowneg,1
lmao bojo,0
lolw true,0
monke,0
kikw,1
pewpewpew ͏,0
paineg,0
2header,0
quin,0
quin ????,0
doctorwtf,0
pewpewpew mad?,0
peeu,0
rowdy shroudy,0
taunted,0
what they do,0
they lame they know you there for a reason,1
nigga go wake them upp please,1
!subs,0
silky currently has 10615 subscribers!,0
u can’t wake up a person like a regular human being and tell him his stream messed up no respect l reem,1
stfu alvert zesty dominican nga smd,1
voicecrack,0
stop talking like you actually with the shits ur not that guy,1
ron cries the most,0
voice crack: 43,0
i think they suppose to be on in 20 mins,0
@nitzan15 17,0
they know you was brought for destruction,0
@yoyitzjello bro stfu,1
yeah don’t do that prank shit,0
wait for vert,0
vert gon make shi shake,0
you pussy,1
gangsta,0
play safe,0
pussy,1
lmfaoaoaooaoa 😂😂😂😂,0
did yuh voice jus crack muddy,0
bro just go fix bros stream and move on,0
yo reem are u cmb go smack someone to wake them up,0
come uk and ill fuck your face,1
"👤 new follow(s) ❤ s1jrod, tongafn, your2fr, lebronahjames ❤, welcome! (1 001 090 followers) (+11943).",0
play it safe then gangsta smh,0
@talkinluke ??,0
