message,label
GG,0
ILYA WTF,0
ggs,0
GGS,0
gg,0
gg,0
gg,0
YALL ARE BOTS FRRR,1
WHY NO PLANT,0
gg,0
Hel noo,0
gg,0
gg,0
gg guys,0
what just happen?,0
gg,0
LOL,0
GG,0
gg,0
GGs,0
NICE,0
peepoBye PRX,0
WHAT,0
gg,0
NOOO,0
gg,0
gg,0
gg,0
NICE NICEGUYS WOOHOO YESSIR,0
Gg,0
LMFAO,0
CUMBACK,0
gg,0
Gg,0
GEEE GEEEEEE,0
LO,0
gg,0
gg,0
gg gg,0
NO,0
GG,0
gg,0
Gg,0
LETSGOOO,0
Bilatmen,0
gg,0
gg,0
LUL,0
ez,0
NOOOO,0
fak,1
GG,0
gg,0
GG,0
GG,0
gg,0
WWWWWWW jinxed,1
gg,0
gg,0
noooooooooooo,0
tang ina mo shanks,1
GGs,0
CHARITY WOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0
lol,0
gg,0
WW jinx,0
:(((((((((((,0
ggs,0
GGS,0
GG,0
Gg,0
LOL 2-0 LMFAO,0
gg,0
LMFAO,0
thats not a cloneeee,0
GG,0
GG,0
gg,0
gg,0
gggg,0
NOOOOOO,0
!results,0
gg,0
gg,0
gg SEND THEM HOME,0
gg,0
GG,0
gg,0
free huh,0
g,0
gg,0
AHAHAHHAHAHHA,0
gg :(,0
PRX BOTTINGGGGGGGGGGGGGGG,1
gg,0
:(,0
best team gg,0
GG,0
gg,0
gg,0
LUL,0
he's definitely on something. the amount of restraint they showed,0
He told cop he was deep D his daughter and wife lol,1
GOOD MORNING HUTCH GOOD MORNING CHAT!,0
pull his pants up please,0
taze his cuffs,0
or mental illness,0
ONE 95,0
HOWS EVERYONE DOING?,0
I can't breathe lolololol ok,1
MDMA is a bad life choice...,1
Oops Grey tazer,0
oh word,0
@gibbys_ribs NAHH,0
this is why you whoop your kids folks,1
idk he crazy so he wont cry,0
this whole chat pussy,0
hitting a women is crazy ngl,1
I fought the law and the,0
This is the landlords kid??,0
@Zoltec_ on jah,0
Skip this man this is so cringe its insane,0
its time for the asylum penitentiarys to come back,1
BUDDYS COOKED,1
this is just sad man go next,0
"""you clear this up right now"" lol trust its being cleared up homey",0
@MGoBlue734 what?...,0
That was his mother he hit in the face his sister is also there,0
bro is high as fuck,1
lmao wut,0
is that not intimidating a witness?,0
this kid is so weird omd,0
rip points,0
meth is an hell of an drug,0
jail going to eat this kid alive 😂😭💀,0
wait til hes in the car alone,0
drugs,0
@unswayed lmao cry more,0
probably true,0
courageCRAZY courageCRAZY courageCRAZY,0
I couldnt be a cop,0
Open fire,0
that was his sister,0
He’s gotta be high as fuck,0
generation is cooooked,1
I could never be a cop,0
@Zoltec_ swiftYep swiftYep swiftYep,0
HIS BRAAIN FRIED FROM THE DRUGS,0
I assaulted someone and now im rich after getting arrested KEKW,1
this guy would be sleeping,0
I fought the law and the law won,0
@zoltec_ That's exactly why bro. Parents need to put some lashes on that ass for sure,1
@unswayed bruh you in the chat,0
tazer tazer tazer,0
the OVER hits,0
Bruh on some bath salts lmao,0
@unswayed who are you feelin like bro,0
If he does all that in front of the cops imagine how he is when no one is around. Scary 😳,0
don't do drugs kids,0
meth is one hell of a drug,1
dont do drugs kids,0
He's too lost in psychosis probably lack of sleep. This is sad,0
you can tell people who never been to jail or prision...,0
bros tweaking,0
rip points,0
"just woke up, wtf",0
tactical elbow in the jaw in justified,0
this is ... wtf please save us all,0
@MrSquiid2 i was just thinking thatt hahah,0
"certified victim, as ZB would say",0
I think the same rule that applies to rabid animals should apply to humans,0
at least,0
Hes gota be on drugs.,0
gotta be,0
W meth,0
This kid needs to learn the value of shutting up,0
gimme a reason,0
meth,0
METH,0
gotta be high or something,0
meth,0
yeah,0
More than drunk,0
"yep, drunk",0
meth,0
100% not solber,0
he gotta be high,0
all of them,0
midwest is wild LUL,0
this is where I wouldn’t mind seeing excessive force,0
he on a perc,0
meth or crack,0
00%,0
he on smthg,0
that licka,0
that is not alcohol lol,0
100 percent meth,0
"This is your kids on drugs, chat",0
meth,0
he sounds drunk the way he’s slurring,0
WWW 5,0
SINKING,0
SINKING,0
LINK IN,0
SICKING,0
linked in,0
LINKEDIN,0
SINKIN,0
WOOO,0
w 5,0
weakness,0
someone gift meeee plssss,0
LINKEDIN,0
LINKIN,0
LINKEDIN,0
SINKING,0
Sinking,0
SINKED IN,0
I VE BEEN THINKING,0
Sinking,0
LINKEDIN,0
linkenin,0
LINKEDIN,0
WEEKEND,0
WEEEKEND,0
SAJ JAX,0
LINKEDIN,0
LINKED IN,0
LINKEDIN,0
WEEKEND,0
WEEKEND,0
THOUGHTS,0
saj,0
LINKED IN,0
linkedin,0
WEEKEND,0
LINKINDIN,0
LINKEDIN,0
@thesierramasterchief117 u da 1 bro,0
LINKEDIN,0
WEEKEND,0
NEXT TO PBM HE BEEN STINKIN,0
YOU,0
wwwken,0
SINKING,0
weekend,0
YOU,0
YOU,0
weekend,0
WEEKEND,0
LINKEDEN,0
youuuu,0
I miss Jax,0
WEEKEND,0
ON YOU,0
Weekend,0
WEEKEND,0
YOU,0
WEEKEND,0
WEEKEND,0
YOU,0
WEEKEND,0
WEEKEND,0
LINKEIN,0
WEEKEDN,0
WEEKEND,0
WEEKEND,0
WEEKEND,0
YOU,0
you,0
EYES ON YOU,0
WEEKEND,0
Ayyy,0
you,0
WEEKEND,0
YOU,0
w 5,0
YOUU,0
YOUU,0
EYES,0
WEEKEND,0
YOU,0
YOUUU,0
YOU,0
YOU,0
YOU,0
WEEKEND,0
YOU ͏,0
YOU,0
YOUUU,0
YOUU,0
THINGING,0
!watchtime @myzarii,0
YOU,0
JAX JAX JAX,0
EYES ON YOU,0
weekend,0
YOU,0
YOUU,0
YOU,0
@gooberfnt gamble has 0 points and is rank 1/1155412 on the leaderboard.,0
wakeup,0
W SPEED,0
!gamble 67,0
"@slim_shady62, you only have 9 points.",0
!gamble 90%,0
ACTION tomatocfc lost 180 points in roulette and now has 20 points! FeelsBadMan,0
why is he in jail,0
wideBoink,0
!followage,0
"@GhostDior, ghostdior has been following lacy for  1 year 6 months 20 days 11 hours",0
!gamble all,0
ACTION PogChamp gooberfnt went all in and won 5 points PogChamp they now have 10 points FeelsGoodMan,0
3,0
2,0
1,0
!coinflip,0
"ACTION strangerdaIe, Your coin has landed on...... Heads",0
!gamble 30%,0
!gamble 100%,0
ACTION slim_shady62 won 2 points in roulette and now has 11 points! FeelsGoodMan,0
anticonned gift me,0
yo,0
jjaideWePaid,0
"ACTION ""HEADS "" won the prediction! PogChamp 52.83% of people voted correctly, meaning 195334 points will be distributed among 28 users.",0
damn it ome90,0
BRO GOT THE BEST SLEEPING SPOT,0
@spooked1x no,0
!followage,0
dans ome32 WideBoris widetime2 wideVIBE,0
"@gooberfnt, gooberfnt has been following lacy for  2 years 5 months 8 days 13 hours",0
gamble,0
BANG,0
w,0
!gable 25%,0
W,0
STROKES wideBoink STROKES wideBoink STROKES wideBoink,0
lacy dont pay you?,0
!gamble 100%,0
ACTION PogChamp tomatocfc went all in and won 20 points PogChamp they now have 40 points FeelsGoodMan,0
!gamble 10000,0
@strangerdaIe who i contact to get lacy better stream flyers,0
oh lacy,0
???,0
weak ass bot,1
W,0
WWW,0
???????????/,0
!gamble 10000,0
ACTION joeywrld_ lost 10000 points in roulette and now has 82530 points! FeelsBadMan,0
@spooked1x we get paid mad money,0
so bc lacy pays me i should gift u ohnono,0
fuck u,1
mmm,0
"Cheer100 imma keep it a stack i love old lady pussy , is what it is",1
"@KillaGRP, he doesnt care about them he uses ai most the time",0
...,0
ohnono,0
yes,0
why his ahh fat,1
moneys tight,0
!gamble 300,0
ACTION R3SET3D lost 300 points in roulette and now has 5500 points! FeelsBadMan,0
jus gimme my moneyy,0
is he in a jail cell brp,0
"@dnvvyy, ngl i forgot u existed wideSpeedLemon",0
LO,0
@strangerdaIe Thats bad.. he a big streamer,0
"this guy doin easy time, should be going to sleep at 10pm and waking up at 6am",0
vote on the predih aga,0
if I get 250k channel points can I time out anticonned,0
@jeremytoowavy_ duckass,1
@anticonned your a millionaire and you won’t even gift us 200 subs,0
L anti,0
"@KillaGRP, well its his choice",0
@gooberfnt no,0
!gamble 1000,0
ACTION R3SET3D lost 1000 points in roulette and now has 4500 points! FeelsBadMan,0
W,0
LL millionaire @AntiConned,0
@sparkyfirm ME?,0
!points,0
@weqmzzz weqmzzz has 0 points and is rank 1155344/1155412 on the leaderboard.,0
LL millionaire @AntiConned,0
@jlibaa i havent been acxtive im pretty busy lmao,0
tub,0
why is lacy locked up😭,0
"@dnvvyy, SAJ",0
!gamble 67,0
"@slim_shady62, you only have 11 points.",0
millionaire? me? ME?,0
mods can do the funniest thing rn,0
@jlibaa soon,0
gg,0
do i vote on 1 or 2 chat pick ome44,0
@AntiConned six seven 67 6 7,0
2,0
67,0
what ever these mf are doing it better be cinema,0
@big_mac665 cuz he got in a fight with jason,0
vyse ult,0
DIGGR,0
1000 prem elo strats,0
PRX kehrt nach Singapur zurück PRX kehrt nach Singapur zurück PRX kehrt nach Singapur zurück PRX kehrt nach Singapur zurück,0
vyse ult fucked them,1
they are so cooked gang,0
BYE BYE PRX ohneRIPBOZO,1
Euro,0
vyse ult,0
guckt,0
Cooked,0
xdd,0
BROS BECOME A TRUE PRX FAN,0
there guns got taken away,0
VYSE ULT,0
they fear getting flanked as the maps are really short,0
they got sandwich LO,0
prx lost me all my channel points L gambling,0
LOL,0
That is my big brain ohne,0
o7,0
the C,0
IGL IS SO BAD,0
valorant players suck lol,0
EURO,0
vyse ult removes primary,0
buffering??,1
Vyse ult fucked prx,0
they had the site but dry flooded,0
euro,0
gg,0
ez games,0
Both upset game,0
none of them have any Aura???,0
THIS GAME LMFAOOO what is happening,0
thye did not have gunn,0
LL TAKE,0
they got ulted,0
PRX IS SO BAD,0
"W drx, L paper",0
vyse ult,0
WHAT IS THIS MOBILE GAME CALLED ??????,0
vyse ult slowed em down,0
cooked team xd,0
alecks table check,0
ti che ochkastui ahuel,0
