message,label
where's the water?,0
xd,0
where dantee fighting,0
keita dont play that shit lol,0
once yu go past the titans stadium it’s central,0
auntie it's ok,0
lmao @lucabozzi22,0
open beta is ggs,0
nashville the move tho,0
anything west of the titans stadium is central,0
yo i am a chef in san deigo can i come cook for you guys,0
use the peacekeeper like a flex gun,0
@ch3fbakes no,0
@boopyshmurda pls gift me im broke,0
i can see tht,0
@buffbird waga good boy,0
is it more like ghost??,0
i am a chef in san deigo can i come cook for you guys,0
"it can be 3 shot tho, sometimes less",0
the sub is dominant.,0
we need the gta rp brother,0
m8 fries,0
definitely the sub,0
gg og,0
slmaooo,0
outside you dooroutside you dooroutside you dooroutside you door,0
itskay11laugh itskay11laugh itskay11laugh,0
sssssssssssss,0
lmfaoooooooooooooooooooo,0
lmfaoooooooooo,0
guuh,0
ummm,0
loll,0
hahahhahahhahahahahhahahahahhaha,0
loooooll,0
😭😭😭,0
lmaaooooooo,0
brother itskay11laugh itskay11laugh itskay11laugh,0
druskidance,0
loooooooooool,0
loooooolllllllllllll,0
grown ass men,0
hahahhaha,0
wtf lol,0
😭,0
off brand druski,0
kevin fart,0
kevin mhm,0
thathit,0
temu dru and kev,0
