message,label
"PogChamp sheesh that play was insane!",0
"LUL that fail!",0
"FeelsBadMan they almost had it!",0
"Hype! Hype! Hype!",0
"ResidentSleeper zzzzzz",0
"4Head that's what he gets",0
"OMEGALUL",0
"EZ Clap",0
"KEKW",0
"monkaS",0
"PepeHands",0
"widepeepoHappy",0
"PogU",0
"LULW",0
"clip it!",0
"poggers",0
"nice one!",0
"so close!",0
"F in chat",0
"FeelsOkayMan",0
"madge",0
"any truers?",0
"copium",0
"hopium",0
"ded game",0
"WutFace",0
"NotLikeThis",0
"rip bozo",0
"peepoClap",0
"peepoLove",0
"OkaygeBusiness",0
"forsenCD",0
"amongE",0
"yatagarasu",0
"This is fire",0
"Big W",0
"Massive dub",0
"That's tuff",0
"No cap",0
"Damn that was garbage",0
"That was ass",0
"Yo wtf is wrong with this dude",1
"This guys a bitch frfr",1
"Go kys you fucking retard",1
"What a goddamn nigger",1
"He's such a cuck",1
"Shut the fuck up you incel",1
"This is some straight up faggot shit",1
"Get cancer and die you piece of shit",1
"You're a worthless twat",1
"That guy is a poopyhead",1
"PogChamp new high score!",0
"LUL that play was insane",0
"OMEGALUL the screamers are out tonight",0
"FeelsBadMan the grind never ends",0
"HYPE that snipe was clean!",0
"GachiPls time for some gains",0
"EZ Clap that was too easy",0
"KEKW that fail was hilarious",0
"monkaS I'm getting nervous",0
"POGGERS that was awesome",0
"PepeHands so close!",0
"Resident Evil Village is amazing",0
"Anyone else watching the Valorant tourney?",0
"Fortnite is still going strong",0
"Lost Ark is a blast!",0
"WoW is life",0
"csgo is hype!",0
"I love Minecraft!",0
"Apex Legends is amazing tonight",0
"anyone else think call of duty is the best?",0
"The new Zelda game is so good!",0
"Baldur's Gate 3 is GOTY",0
"Starfield is huge",0
"Diablo 4 is alright",0
"Path of Exile is awesome",0
"New World is still a thing?",0
"Overwatch 2 is better than Overwatch 1",0
"Destiny 2 is my favorite game",0
"Guild Wars 2 is great",0
"Final Fantasy 14 is amazing",0
