```csv
message,label
intermittent,0
action mckale__ lost 5 stablecoins in roulette and now has 6443 stablecoins! loser,1
intergeration,0
interface,0
intermeidate,0
intercallional,0
interlocking,0
action tizericy lost 5 stablecoins in roulette and now has 37743 stablecoins! loser,1
interationality,0
intergalactical,0
action mckale__ lost 5 stablecoins in roulette and now has 6438 stablecoins! loser,1
interpretation,0
intelligently,0
interference,0
interdimensional,0
ww,0
interpendent,0
intergration,0
intercontinental,0
interactional,0
intermediantion,0
w ron,0
action mckale__ lost 5 stablecoins in roulette and now has 6433 stablecoins! loser,1
interlocked,0
interpretor,0
interpersonal,0
undergraduate,0
interception,0
action tizericy lost 5 stablecoins in roulette and now has 37738 stablecoins! loser,1
internationally,0
action mckale__ won 5 stablecoins in roulette and now has 6438 stablecoins! noway,0
!gamble 100,0
interconnect,0
action zzwaliyy won 100 stablecoins in roulette and now has 450100 stablecoins! noway,0
brading,0
action tizericy won 5 stablecoins in roulette and now has 37743 stablecoins! noway,0
brown,0
drx powerupl kreygasm powerupr drx powerupl kreygasm powerupr drx powerupl kreygasm powerupr,0
2 underdogs winning today,0
!couch,0
@itzshuvro pokimane & valyn ewphop,0
@jtsmoov_ i cant think of the name either life,0
@ladyolivee_ nono,0
something has thrown so many rounds lmao,0
i’m devastated,0
but hell yeah someone who hasnt won before is going to get a win,0
there goes my pickems,0
roster changes,0
shanks fuck youuu,1
i love u tarik pls go to the philippines,0
```
