```csv
message,label
@selfmadem2 😭,0
🤣,0
hs cooked,0
wtf is this guy.... man so boriiiing ... im gona leave this stream.,0
free bro man teegri1nocap teegri1nocap teegri1nocap teegri1nocap,0
freee hs,0
lmao cap,0
🤣🤣🤣🤣🤣🤣🤣🤣 throw away the key,0
3 hs,0
freee hss,0
n3oncooking n3oncooking n3oncooking,0
he's so cooked rn,0
@makaveli_eyes bye tf,0
kekw ͏,0
non mate,0
cockwaching,1
9s lol,0
n3onlaugh n3onlaugh n3onlaugh,0
lmaooo w cameraman,0
"jack tryna come to your party, that leech",1
chloe is a 6,1
w ed,0
1/week is golden,0
chloe is mid bro,1
eds ex was not a 9,1
it’s that’s coke lol 😂 the drugggs lol 😂,0
9's? u dated elsa mud,1
ed back in the game,0
w ed matty,0
you can do better than chloe,0
keep that goofy in jail,1
friends,0
neon scared of iggy,0
lol lol,0
my demon,0
chill...,0
nahhh w ed,0
another one bites the dust,0
das my fren 😍,0
lmfaooaooooooo,0
i would’ve hit neon just folded,0
ed in the house,0
ed w,0
gg chloe,0
n3onbigw n3onbigw n3onbigw n3onbigw,0
porosad,0
demon,0
youre him bro,0
w edy,0
tell sakura jason miss her plzzzzzzzzzzzzztell sakura jason miss her plzzzzzzzzzzzzz,0
```
