Message,Hate
I love this game!,0
You all are terrible at this!,1
This streamer is the best!,0
"Shut up, you noob!",1
So much fun to watch!,0
"Get lost, loser!",1
Nice play!,0
You should just quit!,1
Love the community here!,0
What a bunch of idiots!,1
GG everyone!,0
Stop wasting your time!,1
Great team effort!,0
You’re just a wannabe!,1
Can’t wait for the next match!,0
You all suck!,1
This is epic!,0
What a dumb thing to do!,1
So entertaining!,0
Why are you even here?,1
That was amazing!,0
Just quit already!,1
I enjoy the chats!,0
You’re all pathetic!,1
What a legend!,0
Go back to where you came from!,1
I’m having a blast!,0
You’re a joke!,1
Keep it up!,0
No one cares about you!,1
This community rocks!,0
You think you’re funny?,1
So many great moments!,0
Shut your mouth!,1
What a twist!,0
You’re just a fake!,1
I love the stream!,0
Nobody wants to hear from you!,1
Such a great vibe!,0
All of you should leave!,1
I’m so glad I tuned in!,0
Get a life!,1
Incredible skills!,0
You’re a waste of space!,1
This is my favorite stream!,0
Shame on you!,1
Looking forward to this!,0
Why are you even trying?,1
You’ve got this!,0
Nobody cares about your opinion!,1
Let’s go team!,0
You should be ashamed!,1
I like the way you play!,0
Typical loser behavior!,1
Such a great atmosphere!,0
All of you are cringe!,1
Hyped for the next round!,0
You’re just a troll!,1
Fantastic gameplay!,0
What a stupid thing to say!,1
Loving this channel!,0
You all are unqualified!,1
Happy to be here!,0
"Go home, noob!",1
This is what I needed!,0
You are all trash!,1
Awesome strategies!,0
You think you’re tough?,1
Can’t get enough of this!,0
Why don’t you just stop?,1
Skillful plays today!,0
You’re just making it worse!,1
Excited for the next game!,0
Shut up already!,1
"Great job, team!",0
You ruin everything!,1
What an inspiring moment!,0
Everyone is better than you!,1
Feeling the hype!,0
You’re such a loser!,1
Such a talented group!,0
Why do you even try?,1
Love this energy!,0
Just leave already!,1
So proud of this team!,0
Nobody wants you here!,1
What a fun time!,0
You’re embarrassing yourself!,1
Streaming is awesome!,0
Can you be any more annoying?,1
That was epic!,0
You should just give up!,1
This is such a vibe!,0
You’re a waste of bandwidth!,1
So glad I found this stream!,0
Stop acting like you matter!,1
Big fan of this channel!,0
"Just quit it, will you?",1
This is so cool!,0
Why don’t you go away?,1
Best community ever!,0
You think anyone likes you?,1
What an awesome night!,0
You should be banned!,1
Keep the good vibes coming!,0
Nobody even cares what you think!,1
This is a great place to hang out!,0
You sound so ignorant!,1
Excited for the content!,0
Why do you even exist?,1
Loving the enthusiasm!,0
You’re just embarrassing yourself!,1
Such a supportive community!,0
Stop pretending to care!,1
What a great crowd!,0
You should just log off!,1
What a fantastic match!,0
"Get out of here, loser!",1
The excitement is real!,0
You know nothing!,1
So many great players!,0
"Go away, nobody likes you!",1
Feeling the community spirit!,0
You’re such a wannabe!,1
Fantastic energy!,0
All of you should just quit!,1
This content is amazing!,0
You’re bringing everyone down!,1
Loving every minute!,0
Just stop talking!,1
What a fantastic stream!,0
You’re irrelevant!,1
Nice to see everyone!,0
Just quit already!,1
What a great game!,0
Save your breath!,1
This chat is wonderful!,0
You don’t matter!,1
So much fun watching this!,0
You sound so desperate!,1
Such great content!,0
Do everyone a favor and leave!,1
Incredible moments tonight!,0
You’re the worst!,1
I love this energy!,0
You shouldn’t even be here!,1
This is what gaming is about!,0
Nobody asked for your opinion!,1
Such a positive atmosphere!,0
Just go away!,1
I can’t get enough of this!,0
You are such a waste of time!,1
Amazing to see the support!,0
Enough of your nonsense!,1
